asset_id,employee_id,asset_type,brand_model,serial_number,issued_date,status,warranty_expiry
AST0023,EMP014,Docking Station,Dell WD19,SN-IEQH-00330923,2025-02-20,Under Repair,2027-02-20
AST0024,EMP015,Headset,Logitech H390,SN-XKTG-37452991,2023-09-17,Assigned,2025-09-16
AST0025,EMP016,Laptop,Lenovo ThinkPad T14,SN-GSXT-49663193,2023-10-22,Assigned,2024-10-21
AST0026,EMP017,Mobile Phone,iPhone 14,SN-EGPV-91905865,2025-08-05,Returned,2027-08-05
AST0027,EMP017,Monitor,"LG 27"" UltraWide",SN-LUHP-67165726,2020-01-31,Assigned,2023-01-30
AST0028,EMP018,Headset,Sony WH-1000XM4,SN-FRCP-87769453,2021-10-11,Assigned,2022-10-11
AST0029,EMP018,Docking Station,Dell WD19,SN-FNWZ-99650752,2024-12-08,Under Repair,2027-12-08
AST0030,EMP019,Monitor,"Dell 24"" FHD",SN-PUAF-49480831,2021-09-12,Assigned,2022-09-12
AST0031,EMP020,Mobile Phone,OnePlus 11,SN-ZSPT-37770143,2023-08-27,Returned,2025-08-26
AST0032,EMP021,Laptop,HP EliteBook 840,SN-WSDR-57885685,2024-05-14,Assigned,2026-05-14
AST0033,EMP022,Laptop,Lenovo ThinkPad T14,SN-NVER-31351823,2022-01-06,Assigned,2023-01-06
AST0034,EMP022,Mobile Phone,Samsung Galaxy S23,SN-LTAT-89413435,2024-10-07,Under Repair,2026-10-07
AST0035,EMP023,Headset,Jabra Evolve2 40,SN-AKSE-40084271,2023-07-07,Under Repair,2025-07-06
AST0036,EMP023,Mobile Phone,Samsung Galaxy S23,SN-FEKO-52047116,2023-02-24,Assigned,2026-02-23
AST0037,EMP024,Headset,Logitech H390,SN-WAMM-22941318,2024-07-07,Assigned,2027-07-07
AST0038,EMP024,Laptop,Lenovo ThinkPad T14,SN-TKND-38677496,2025-03-15,Assigned,2027-03-15
AST0039,EMP025,Mobile Phone,Samsung Galaxy S23,SN-JEKA-13341232,2024-01-04,Returned,2026-01-03
AST0040,EMP026,Monitor,"LG 27"" UltraWide",SN-EROQ-97403447,2022-09-08,Assigned,2024-09-07
AST0041,EMP026,Headset,Sony WH-1000XM4,SN-JEDK-93618324,2025-03-08,Returned,2027-03-08
AST0042,EMP027,Mobile Phone,OnePlus 11,SN-RGIF-99471746,2025-03-19,Under Repair,2028-03-18
AST0043,EMP027,Laptop,Lenovo ThinkPad T14,SN-ORKL-90659401,2022-11-17,Assigned,2025-11-16
AST0044,EMP027,Headset,Jabra Evolve2 40,SN-LLBO-49027874,2026-04-03,Returned,2027-04-03
AST0045,EMP028,Headset,Jabra Evolve2 40,SN-VASF-17565512,2025-05-10,Assigned,2026-05-10
AST0046,EMP028,Laptop,Lenovo ThinkPad T14,SN-HXZG-68071545,2021-11-23,Under Repair,2023-11-23
AST0047,EMP029,Laptop,"MacBook Pro 14""",SN-NWFO-08760385,2025-06-05,Assigned,2027-06-05
AST0048,EMP029,Monitor,"LG 27"" UltraWide",SN-HBOM-03482477,2022-11-28,Returned,2023-11-28
AST0049,EMP029,Mobile Phone,iPhone 14,SN-HDHP-24808613,2025-04-04,Assigned,2028-04-03
AST0050,EMP030,Mobile Phone,iPhone 14,SN-DJJY-74846773,2025-06-22,Assigned,2026-06-22
AST0051,EMP031,Headset,Sony WH-1000XM4,SN-RASU-98214658,2021-04-03,Assigned,2022-04-03
AST0052,EMP031,Docking Station,HP USB-C Dock G5,SN-VJWI-99727875,2021-12-18,Under Repair,2024-12-17
AST0053,EMP032,Docking Station,HP USB-C Dock G5,SN-UVET-53396360,2022-06-25,Under Repair,2025-06-24
AST0054,EMP033,Monitor,"Dell 24"" FHD",SN-VGCG-66270289,2026-01-03,Assigned,2028-01-03
AST0055,EMP034,Headset,Sony WH-1000XM4,SN-VNSZ-70262174,2023-06-17,Assigned,2025-06-16
AST0056,EMP034,Laptop,Dell Latitude 5440,SN-EPOR-58657809,2024-04-10,Returned,2027-04-10
AST0057,EMP035,Mobile Phone,iPhone 14,SN-BCUY-31611724,2026-01-21,Assigned,2029-01-20
AST0058,EMP036,Docking Station,Dell WD19,SN-RYLK-55623869,2020-05-14,Assigned,2021-05-14
AST0059,EMP036,Monitor,"Dell 24"" FHD",SN-DOQD-96937923,2021-02-24,Assigned,2023-02-24
AST0060,EMP037,Docking Station,HP USB-C Dock G5,SN-LTOB-07482175,2021-09-05,Returned,2023-09-05
AST0061,EMP038,Laptop,Dell Latitude 5440,SN-KWKS-74367136,2024-07-16,Under Repair,2026-07-16
AST0062,EMP039,Headset,Sony WH-1000XM4,SN-VFSX-40640909,2026-07-13,Assigned,2027-07-13
AST0063,EMP039,Docking Station,HP USB-C Dock G5,SN-OPCT-95339421,2025-04-03,Assigned,2028-04-02
AST0064,EMP039,Monitor,"LG 27"" UltraWide",SN-LMIY-09521456,2025-03-10,Returned,2027-03-10
AST0065,EMP040,Docking Station,Dell WD19,SN-VVZH-58842474,2023-07-20,Under Repair,2024-07-19
AST0066,EMP041,Laptop,Dell Latitude 5440,SN-AQIH-12368516,2023-01-30,Assigned,2026-01-29
AST0067,EMP042,Monitor,"LG 27"" UltraWide",SN-NJUN-49651370,2022-12-28,Assigned,2025-12-27
AST0068,EMP043,Docking Station,HP USB-C Dock G5,SN-TFHG-17461200,2021-06-15,Assigned,2022-06-15
AST0069,EMP044,Docking Station,HP USB-C Dock G5,SN-VUJA-82675869,2021-07-18,Assigned,2022-07-18
AST0070,EMP045,Laptop,HP EliteBook 840,SN-CPXG-79640537,2024-04-22,Returned,2025-04-22
AST0071,EMP045,Monitor,"Samsung 24"" Curved",SN-DFQN-58506431,2026-06-15,Assigned,2029-06-14
AST0072,EMP046,Docking Station,Dell WD19,SN-EWJN-90053293,2024-03-22,Assigned,2025-03-22
AST0073,EMP046,Laptop,Lenovo ThinkPad T14,SN-IQZL-35290422,2023-11-10,Assigned,2026-11-09
AST0074,EMP047,Headset,Logitech H390,SN-LQDI-02053950,2020-09-21,Returned,2023-09-21
AST0075,EMP047,Laptop,Lenovo ThinkPad T14,SN-GCGO-81177589,2024-11-17,Assigned,2027-11-17
AST0076,EMP048,Headset,Logitech H390,SN-BRGF-08470076,2026-03-21,Assigned,2028-03-20
AST0077,EMP049,Monitor,"LG 27"" UltraWide",SN-RNOL-71159212,2024-09-07,Under Repair,2026-09-07
AST0078,EMP049,Headset,Jabra Evolve2 40,SN-BGYS-56984789,2023-08-10,Returned,2025-08-09
AST0079,EMP050,Mobile Phone,OnePlus 11,SN-ZAUG-83673657,2020-10-01,Under Repair,2022-10-01
AST0080,EMP051,Mobile Phone,OnePlus 11,SN-FBGV-54527111,2022-01-21,Assigned,2025-01-20
AST0081,EMP052,Headset,Jabra Evolve2 40,SN-AWQW-28098851,2024-11-10,Under Repair,2026-11-10
AST0082,EMP053,Laptop,Dell Latitude 5440,SN-NJQE-04945198,2022-10-13,Under Repair,2024-10-12
AST0083,EMP054,Headset,Jabra Evolve2 40,SN-ZBJX-15851493,2021-06-22,Returned,2023-06-22
AST0084,EMP054,Monitor,"Samsung 24"" Curved",SN-SWTV-98094024,2025-05-20,Assigned,2027-05-20
AST0085,EMP055,Headset,Logitech H390,SN-VHNY-22961201,2022-04-23,Under Repair,2024-04-22
AST0086,EMP055,Docking Station,Dell WD19,SN-DJKW-52545991,2022-10-05,Under Repair,2023-10-05
