location_id,city,state,country,building_name,floor,address,region,facilities,seating_capacity,contact_email
L036,Coimbatore,Tamil Nadu,IN,TechNova Tower B,Floor 1,"391, Hitech City Road, Coimbatore",South,"Parking, Cafeteria, Client Lounge",80,facilities.coimbatore@technova.com
L037,Coimbatore,Tamil Nadu,IN,TechNova Tower A,Floor 2,"307, Cyber Hub Road, Coimbatore",South,"Meeting Rooms, Cafeteria, Nap Pods",30,facilities.coimbatore@technova.com
L038,Coimbatore,Tamil Nadu,IN,TechNova Tower A,Floor 3,"476, Cyber Hub Road, Coimbatore",South,"Recreation Zone, Parking, Cafeteria",40,facilities.coimbatore@technova.com
L039,Coimbatore,Tamil Nadu,IN,TechNova Tower A,Floor 4,"124, Park Street, Coimbatore",South,"Cafeteria, Parking, Gym",30,facilities.coimbatore@technova.com
L040,Coimbatore,Tamil Nadu,IN,TechNova Tower C,Floor 5,"249, MG Road, Coimbatore",South,"Parking, Cafeteria, Client Lounge",40,facilities.coimbatore@technova.com
L041,Ahmedabad,Gujarat,IN,TechNova Tower A,Floor 1,"338, Race Course Road, Ahmedabad",West,"Parking, Cafeteria, Client Lounge",40,facilities.ahmedabad@technova.com
L042,Ahmedabad,Gujarat,IN,TechNova Tower B,Floor 2,"271, Park Street, Ahmedabad",West,"Meeting Rooms, Cafeteria, Nap Pods",40,facilities.ahmedabad@technova.com
L043,Ahmedabad,Gujarat,IN,TechNova Tower C,Floor 3,"387, Baner Road, Ahmedabad",West,"Meeting Pods, Terrace Lounge, Cafeteria",50,facilities.ahmedabad@technova.com
L044,Ahmedabad,Gujarat,IN,TechNova Tower B,Floor 4,"344, Cyber Hub Road, Ahmedabad",West,"Meeting Rooms, Cafeteria, Nap Pods",80,facilities.ahmedabad@technova.com
L045,Ahmedabad,Gujarat,IN,TechNova Tower B,Floor 5,"62, Baner Road, Ahmedabad",West,"Cafeteria, Meeting Pods, Server Room",30,facilities.ahmedabad@technova.com
L046,Kolkata,West Bengal,IN,TechNova Tower B,Floor 1,"11, Park Street, Kolkata",North/East,"Parking, Cafeteria, Client Lounge",40,facilities.kolkata@technova.com
L047,Kolkata,West Bengal,IN,TechNova Tower C,Floor 2,"113, Anna Salai, Kolkata",North/East,"Cafeteria, Parking, Gym",30,facilities.kolkata@technova.com
L048,Kolkata,West Bengal,IN,TechNova Tower A,Floor 3,"35, Anna Salai, Kolkata",North/East,"Recreation Zone, Parking, Cafeteria",30,facilities.kolkata@technova.com
L049,Kolkata,West Bengal,IN,TechNova Tower C,Floor 4,"122, Andheri Link Road, Kolkata",North/East,"Meeting Pods, Terrace Lounge, Cafeteria",60,facilities.kolkata@technova.com
L050,Kolkata,West Bengal,IN,TechNova Tower A,Floor 5,"277, Hitech City Road, Kolkata",North/East,"Meeting Pods, Terrace Lounge, Cafeteria",80,facilities.kolkata@technova.com
